Media_type,isolate_ID,Replicates,Protocol,Absor_260/280,Absor_260/230,Nano_1ng/ul,Quatus_2ng/ul
ME,TX1-2,1,1,2.45,5.04,133.4,49
ME,TX1-2,2,1,3.16,-6.58,68.1,32
ME,TX1-2,3,1,2.92,-18.52,84.5,45
ME,CAN2,1,1,2.6,10.08,159.6,43
ME,CAN2,2,1,1.02,0.44,-25.4,8.2
ME,CAN2,3,1,1.49,0.81,-71.1,0.0583
ME,BS9_240_002N_4,1,1,2.19,3.07,509.8,97
ME,BS9_240_002N_4,2,1,2.66,21.29,101.3,27
ME,BS9_240_002N_4,3,1,2.04,2.28,367.7,60
ME,BS 9 C 040N-2,1,1,2.05,2.3,531.9,120
ME,BS 9 C 040N-2,2,1,2.07,2.25,214.6,3.6
ME,BS 9 C 040N-2,3,1,1.95,2.12,422.3,73
ME,BS 9 C 040N-2,4,1,1.79,1.49,81.9,0
ME,BS11C 643 S-6,1,1,1.06,0.68,-49.9,8.6
ME,BS11C 643 S-6,2,1,22.59,-1.81,50.6,29
ME,BS11C 643 S-6,3,1,-0.79,-0.29,13.2,25
ME,BS11 240 698 S-6,1,1,-0.43,-0.16,7.4,17
ME,BS11 240 698 S-6,2,1,4.39,-11.69,69,30
ME,BS11 240 698 S-6,3,1,5.21,-3.21,57.7,30
PD,TX1-2,1,1,1.5,0.79,-68.1,0.306
PD,TX1-2,2,1,1.49,0.81,-73.2,0
PD,BS9_240_002N_4,1,1,1.52,1.09,5.4,0.678
PD,BS9_240_002N_4,2,1,1.14,0.96,5.6,0.596
PD,BS 9 C 040N-2,1,1,1.66,0.81,16.6,2.82
PD,BS 9 C 040N-2,2,1,1.64,0.95,5.9,2.94
PD,BS11C 643 S-6,1,1,1.44,1.03,-99.6,2.01
PD,BS11C 643 S-6,2,1,1.39,1.59,-44.4,1.95
PD,BS11 240 698 S-6,1,1,1.47,1.03,-104.1,0.0245
PD,BS11 240 698 S-6,2,1,1.42,0.99,-104.6,0
SD,TX1-2,1,1,2.29,3.12,255.9,53
SD,TX1-2,2,1,2.24,3.04,325.5,58
SD,CAN2,1,1,0.93,0.37,-24.1,6.7
