Sample,Media,Week,Area,StdDev,Perim.,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret,Length,diameter,premeter_based
TX1-2,MEA,1,3.542,51.296,37.214,-0.585,37.214,940,1344,179.415,0,37.214,2.123632376,11.8455841
CAN2,MEA,1,0.705,46.549,7.462,0,7.462,1124,1404,0,0,7.462,0.947435422,2.375228371
BS9_240_002N_4,MEA,1,4.743,31.16,49.242,-1.343,49.242,808,1348,178.657,2.220E-16,49.242,2.457432636,15.67421542
BS 9 C 040N-2,MEA,1,4.656,40.676,49.164,-0.881,49.164,844,1408,179.119,1.110E-16,49.164,2.4347902,15.64938724
BS11C 643 S-6,MEA,1,2.34,45.189,25.184,0,25.184,1000,1440,0,0,25.184,1.726088218,8.016316174
BS11 240 698 S-6,MEA,1,4.784,37.186,56.49,-0.343,56.49,868,1400,179.657,0,56.49,2.468031196,17.98132547
TX1-2,PDA,1,3.865,39.469,38.089,1.828,38.089,904,1312,1.828,2.220E-16,38.089,2.218348674,12.12410525
CAN2,PDA,1,0.782,60.238,8.25,0,8.25,1076,1360,0,0,8.25,0.997834317,2.626056561
BS9_240_002N_4,PDA,1,2.189,21.146,22.685,3.879,22.685,952,1404,3.879,2.220E-16,22.685,1.669467389,7.220859768
BS 9 C 040N-2,PDA,1,1.496,51.318,15.076,4.514,15.076,1016,1372,4.514,0,15.076,1.380132732,4.798839844
BS11C 643 S-6,PDA,1,2.644,39.552,26.378,1.302,26.378,951,1302,1.302,0,26.378,1.834787551,8.396378178
BS11 240 698 S-6,PDA,1,0.769,60.245,7.596,0,7.596,1044,1308,0,0,7.596,0.989505538,2.417881895
TX1-2,YEPD,1,4.981,30.727,53.922,3.136,53.922,924,1456,3.136,0,53.922,2.518334007,17.16390568
CAN2,YEPD,1,0.775,30.238,8.211,0,8.211,1076,1456,0,0,8.211,0.993358267,2.613642475
BS9_240_002N_4,YEPD,1,2.764,22.114,25.589,3.621,25.589,873,1161,3.621,2.220E-16,25.589,1.87596218,8.145231678
BS 9 C 040N-2,YEPD,1,3.314,17.806,33.387,4.764,33.387,880,1340,4.764,0,33.387,2.054146015,10.62741217
BS11C 643 S-6,YEPD,1,2.697,20.152,30.27,2.694,30.27,1028,1444,2.694,2.220E-16,30.27,1.853085819,9.635240255
BS11 240 698 S-6,YEPD,1,5.889,26.826,61.767,2.121,61.767,772,1420,2.121,0,61.767,2.738267277,19.66104674
TX1-2,SDA,1,4.765,20.776,43.899,3.391,43.899,1047,1056,3.391,4.441E-16,43.899,2.463125338,13.97348569
CAN2,SDA,1,0.983,25.28,9.944,9.09,9.944,1064,1300,9.09,0,9.944,1.118746831,3.165273508
BS9_240_002N_4,SDA,1,2.616,47.958,25.45,2.77,25.45,992,1264,2.77,0,25.45,1.825046479,8.100986603
